arm,seed,n,op,true,pred
coarse_kc_shared_removed,7,7,-,6,7
coarse_kc_shared_removed,7,8,+,9,7
coarse_kc_shared_removed,7,8,-,7,7
coarse_kc_shared_removed,7,9,+,10,7
coarse_kc_shared_removed,7,9,-,8,7
coarse_kc_shared_removed,8,4,-,3,5
coarse_kc_shared_removed,8,5,+,6,4
coarse_kc_shared_removed,8,6,-,5,7
coarse_kc_shared_removed,8,7,+,8,7
coarse_kc_shared_removed,8,7,-,6,7
coarse_kc_shared_removed,8,8,+,9,7
coarse_kc_shared_removed,8,8,-,7,7
coarse_kc_shared_removed,8,9,+,10,7
coarse_kc_shared_removed,8,9,-,8,7
coarse_kc_shared_removed,9,4,-,3,5
coarse_kc_shared_removed,9,5,+,6,4
coarse_kc_shared_removed,9,6,-,5,7
coarse_kc_shared_removed,9,7,+,8,7
coarse_kc_shared_removed,9,7,-,6,7
coarse_kc_shared_removed,9,8,+,9,7
coarse_kc_shared_removed,9,8,-,7,7
coarse_kc_shared_removed,9,9,+,10,7
coarse_kc_shared_removed,9,9,-,8,7
coarse_kc_shared_removed,10,4,-,3,5
coarse_kc_shared_removed,10,5,+,6,4
coarse_kc_shared_removed,10,6,-,5,7
coarse_kc_shared_removed,10,7,+,8,7
coarse_kc_shared_removed,10,7,-,6,7
coarse_kc_shared_removed,10,8,+,9,7
coarse_kc_shared_removed,10,8,-,7,7
coarse_kc_shared_removed,10,9,+,10,7
coarse_kc_shared_removed,10,9,-,8,7
coarse_kc_shared_removed,11,4,-,3,5
coarse_kc_shared_removed,11,5,+,6,4
coarse_kc_shared_removed,11,6,-,5,7
coarse_kc_shared_removed,11,7,+,8,7
coarse_kc_shared_removed,11,7,-,6,7
coarse_kc_shared_removed,11,8,+,9,7
coarse_kc_shared_removed,11,8,-,7,7
coarse_kc_shared_removed,11,9,+,10,7
coarse_kc_shared_removed,11,9,-,8,7
coarse_kc_shared_removed,12,4,-,3,5
coarse_kc_shared_removed,12,5,+,6,4
coarse_kc_shared_removed,12,6,-,5,7
coarse_kc_shared_removed,12,7,+,8,7
coarse_kc_shared_removed,12,7,-,6,7
coarse_kc_shared_removed,12,8,+,9,7
coarse_kc_shared_removed,12,8,-,7,7
coarse_kc_shared_removed,12,9,+,10,7
coarse_kc_shared_removed,12,9,-,8,7
coarse_kc_shared_removed,13,4,-,3,5
coarse_kc_shared_removed,13,5,+,6,4
coarse_kc_shared_removed,13,6,-,5,7
coarse_kc_shared_removed,13,7,+,8,7
coarse_kc_shared_removed,13,7,-,6,7
coarse_kc_shared_removed,13,8,+,9,7
coarse_kc_shared_removed,13,8,-,7,7
coarse_kc_shared_removed,13,9,+,10,7
coarse_kc_shared_removed,13,9,-,8,7
coarse_kc_shared_removed,14,4,-,3,5
coarse_kc_shared_removed,14,5,+,6,4
coarse_kc_shared_removed,14,6,-,5,7
coarse_kc_shared_removed,14,7,+,8,7
coarse_kc_shared_removed,14,7,-,6,7
coarse_kc_shared_removed,14,8,+,9,7
coarse_kc_shared_removed,14,8,-,7,7
coarse_kc_shared_removed,14,9,+,10,7
coarse_kc_shared_removed,14,9,-,8,7
coarse_kc_shared_removed,15,4,-,3,5
coarse_kc_shared_removed,15,5,+,6,4
coarse_kc_shared_removed,15,6,-,5,7
coarse_kc_shared_removed,15,7,+,8,7
coarse_kc_shared_removed,15,7,-,6,7
coarse_kc_shared_removed,15,8,+,9,7
coarse_kc_shared_removed,15,8,-,7,7
coarse_kc_shared_removed,15,9,+,10,7
coarse_kc_shared_removed,15,9,-,8,7
coarse_kc_shared_removed,16,4,-,3,5
coarse_kc_shared_removed,16,5,+,6,4
coarse_kc_shared_removed,16,6,-,5,7
coarse_kc_shared_removed,16,7,+,8,7
coarse_kc_shared_removed,16,7,-,6,7
coarse_kc_shared_removed,16,8,+,9,7
coarse_kc_shared_removed,16,8,-,7,7
coarse_kc_shared_removed,16,9,+,10,7
coarse_kc_shared_removed,16,9,-,8,7
coarse_kc_shared_removed,17,4,-,3,5
coarse_kc_shared_removed,17,5,+,6,4
coarse_kc_shared_removed,17,6,-,5,7
coarse_kc_shared_removed,17,7,+,8,7
coarse_kc_shared_removed,17,7,-,6,7
coarse_kc_shared_removed,17,8,+,9,7
coarse_kc_shared_removed,17,8,-,7,7
coarse_kc_shared_removed,17,9,+,10,7
coarse_kc_shared_removed,17,9,-,8,7
coarse_kc_shared_removed,18,4,-,3,5
coarse_kc_shared_removed,18,5,+,6,4
coarse_kc_shared_removed,18,6,-,5,7
coarse_kc_shared_removed,18,7,+,8,7
coarse_kc_shared_removed,18,7,-,6,7
coarse_kc_shared_removed,18,8,+,9,7
coarse_kc_shared_removed,18,8,-,7,7
coarse_kc_shared_removed,18,9,+,10,7
coarse_kc_shared_removed,18,9,-,8,7
coarse_kc_shared_removed,19,4,-,3,5
coarse_kc_shared_removed,19,5,+,6,4
coarse_kc_shared_removed,19,6,-,5,7
coarse_kc_shared_removed,19,7,+,8,7
coarse_kc_shared_removed,19,7,-,6,7
coarse_kc_shared_removed,19,8,+,9,7
coarse_kc_shared_removed,19,8,-,7,7
coarse_kc_shared_removed,19,9,+,10,7
coarse_kc_shared_removed,19,9,-,8,7
coarse_kc_overlapctl,0,4,-,3,5
coarse_kc_overlapctl,0,5,+,6,4
coarse_kc_overlapctl,0,6,-,5,7
coarse_kc_overlapctl,0,7,+,8,7
coarse_kc_overlapctl,0,7,-,6,7
coarse_kc_overlapctl,0,8,+,9,7
coarse_kc_overlapctl,0,8,-,7,7
coarse_kc_overlapctl,0,9,+,10,7
coarse_kc_overlapctl,0,9,-,8,7
coarse_kc_overlapctl,1,4,-,3,5
coarse_kc_overlapctl,1,5,+,6,4
coarse_kc_overlapctl,1,6,-,5,7
coarse_kc_overlapctl,1,7,+,8,7
coarse_kc_overlapctl,1,7,-,6,7
coarse_kc_overlapctl,1,8,+,9,7
coarse_kc_overlapctl,1,8,-,7,0
coarse_kc_overlapctl,1,9,+,10,7
coarse_kc_overlapctl,1,9,-,8,0
coarse_kc_overlapctl,2,4,-,3,5
coarse_kc_overlapctl,2,5,+,6,4
coarse_kc_overlapctl,2,6,-,5,7
coarse_kc_overlapctl,2,7,+,8,7
coarse_kc_overlapctl,2,7,-,6,7
coarse_kc_overlapctl,2,8,+,9,7
coarse_kc_overlapctl,2,8,-,7,7
coarse_kc_overlapctl,2,9,+,10,7
coarse_kc_overlapctl,2,9,-,8,0
coarse_kc_overlapctl,3,4,-,3,5
coarse_kc_overlapctl,3,5,+,6,4
coarse_kc_overlapctl,3,6,-,5,7
coarse_kc_overlapctl,3,7,+,8,7
coarse_kc_overlapctl,3,7,-,6,7
coarse_kc_overlapctl,3,8,+,9,7
coarse_kc_overlapctl,3,8,-,7,7
coarse_kc_overlapctl,3,9,+,10,3
coarse_kc_overlapctl,3,9,-,8,0
coarse_kc_overlapctl,4,4,-,3,5
coarse_kc_overlapctl,4,5,+,6,4
coarse_kc_overlapctl,4,6,-,5,7
coarse_kc_overlapctl,4,7,+,8,7
coarse_kc_overlapctl,4,7,-,6,7
coarse_kc_overlapctl,4,8,+,9,7
coarse_kc_overlapctl,4,8,-,7,7
coarse_kc_overlapctl,4,9,+,10,7
coarse_kc_overlapctl,4,9,-,8,0
coarse_kc_overlapctl,5,4,-,3,5
coarse_kc_overlapctl,5,5,+,6,4
coarse_kc_overlapctl,5,6,-,5,7
coarse_kc_overlapctl,5,7,+,8,7
coarse_kc_overlapctl,5,7,-,6,7
coarse_kc_overlapctl,5,8,+,9,7
coarse_kc_overlapctl,5,8,-,7,2
coarse_kc_overlapctl,5,9,+,10,2
coarse_kc_overlapctl,5,9,-,8,2
coarse_kc_overlapctl,6,4,-,3,5
coarse_kc_overlapctl,6,5,+,6,4
coarse_kc_overlapctl,6,6,-,5,7
coarse_kc_overlapctl,6,7,+,8,7
coarse_kc_overlapctl,6,7,-,6,7
coarse_kc_overlapctl,6,8,+,9,7
coarse_kc_overlapctl,6,8,-,7,7
coarse_kc_overlapctl,6,9,+,10,7
coarse_kc_overlapctl,6,9,-,8,0
coarse_kc_overlapctl,7,4,-,3,5
coarse_kc_overlapctl,7,5,+,6,4
coarse_kc_overlapctl,7,6,-,5,7
coarse_kc_overlapctl,7,7,+,8,7
coarse_kc_overlapctl,7,7,-,6,7
coarse_kc_overlapctl,7,8,+,9,7
coarse_kc_overlapctl,7,8,-,7,0
coarse_kc_overlapctl,7,9,+,10,7
coarse_kc_overlapctl,7,9,-,8,0
coarse_kc_overlapctl,8,4,-,3,5
coarse_kc_overlapctl,8,5,+,6,4
coarse_kc_overlapctl,8,6,-,5,7
coarse_kc_overlapctl,8,7,+,8,7
coarse_kc_overlapctl,8,7,-,6,7
coarse_kc_overlapctl,8,8,+,9,7
coarse_kc_overlapctl,8,8,-,7,7
coarse_kc_overlapctl,8,9,+,10,2
coarse_kc_overlapctl,8,9,-,8,0
coarse_kc_overlapctl,9,4,-,3,5
coarse_kc_overlapctl,9,5,+,6,4
coarse_kc_overlapctl,9,6,-,5,7
coarse_kc_overlapctl,9,7,+,8,7
coarse_kc_overlapctl,9,7,-,6,7
coarse_kc_overlapctl,9,8,+,9,7
coarse_kc_overlapctl,9,8,-,7,7
coarse_kc_overlapctl,9,9,+,10,7
coarse_kc_overlapctl,9,9,-,8,4
coarse_kc_overlapctl,10,4,-,3,5
coarse_kc_overlapctl,10,5,+,6,4
coarse_kc_overlapctl,10,6,-,5,7
coarse_kc_overlapctl,10,7,+,8,7
coarse_kc_overlapctl,10,7,-,6,7
coarse_kc_overlapctl,10,8,+,9,7
coarse_kc_overlapctl,10,8,-,7,7
coarse_kc_overlapctl,10,9,+,10,7
coarse_kc_overlapctl,10,9,-,8,7
coarse_kc_overlapctl,11,4,-,3,5
coarse_kc_overlapctl,11,5,+,6,4
coarse_kc_overlapctl,11,6,-,5,7
coarse_kc_overlapctl,11,7,+,8,7
coarse_kc_overlapctl,11,7,-,6,7
coarse_kc_overlapctl,11,8,+,9,7
coarse_kc_overlapctl,11,8,-,7,7
coarse_kc_overlapctl,11,9,+,10,4
coarse_kc_overlapctl,11,9,-,8,0
coarse_kc_overlapctl,12,4,-,3,5
coarse_kc_overlapctl,12,5,+,6,4
coarse_kc_overlapctl,12,6,-,5,7
coarse_kc_overlapctl,12,7,+,8,7
coarse_kc_overlapctl,12,7,-,6,7
coarse_kc_overlapctl,12,8,+,9,7
coarse_kc_overlapctl,12,8,-,7,7
coarse_kc_overlapctl,12,9,+,10,7
coarse_kc_overlapctl,12,9,-,8,2
coarse_kc_overlapctl,13,4,-,3,5
coarse_kc_overlapctl,13,5,+,6,4
coarse_kc_overlapctl,13,6,-,5,7
coarse_kc_overlapctl,13,7,+,8,7
coarse_kc_overlapctl,13,7,-,6,7
coarse_kc_overlapctl,13,8,+,9,7
coarse_kc_overlapctl,13,8,-,7,7
coarse_kc_overlapctl,13,9,+,10,2
coarse_kc_overlapctl,13,9,-,8,0
coarse_kc_overlapctl,14,4,-,3,5
coarse_kc_overlapctl,14,5,+,6,4
coarse_kc_overlapctl,14,6,-,5,7
coarse_kc_overlapctl,14,7,+,8,7
coarse_kc_overlapctl,14,7,-,6,7
coarse_kc_overlapctl,14,8,+,9,7
coarse_kc_overlapctl,14,8,-,7,7
coarse_kc_overlapctl,14,9,+,10,7
coarse_kc_overlapctl,14,9,-,8,7
coarse_kc_overlapctl,15,4,-,3,5
coarse_kc_overlapctl,15,5,+,6,4
coarse_kc_overlapctl,15,6,-,5,7
coarse_kc_overlapctl,15,7,+,8,7
coarse_kc_overlapctl,15,7,-,6,7
coarse_kc_overlapctl,15,8,+,9,7
coarse_kc_overlapctl,15,8,-,7,7
coarse_kc_overlapctl,15,9,+,10,7
coarse_kc_overlapctl,15,9,-,8,7
coarse_kc_overlapctl,16,4,-,3,5
coarse_kc_overlapctl,16,5,+,6,4
coarse_kc_overlapctl,16,6,-,5,7
coarse_kc_overlapctl,16,7,+,8,7
coarse_kc_overlapctl,16,7,-,6,7
coarse_kc_overlapctl,16,8,+,9,7
coarse_kc_overlapctl,16,8,-,7,7
coarse_kc_overlapctl,16,9,+,10,7
coarse_kc_overlapctl,16,9,-,8,7
coarse_kc_overlapctl,17,4,-,3,5
coarse_kc_overlapctl,17,5,+,6,4
coarse_kc_overlapctl,17,6,-,5,7
coarse_kc_overlapctl,17,7,+,8,7
coarse_kc_overlapctl,17,7,-,6,7
coarse_kc_overlapctl,17,8,+,9,7
coarse_kc_overlapctl,17,8,-,7,7
coarse_kc_overlapctl,17,9,+,10,7
coarse_kc_overlapctl,17,9,-,8,7
coarse_kc_overlapctl,18,4,-,3,5
coarse_kc_overlapctl,18,5,+,6,4
coarse_kc_overlapctl,18,6,-,5,7
coarse_kc_overlapctl,18,7,+,8,7
coarse_kc_overlapctl,18,7,-,6,7
coarse_kc_overlapctl,18,8,+,9,7
coarse_kc_overlapctl,18,8,-,7,7
coarse_kc_overlapctl,18,9,+,10,7
coarse_kc_overlapctl,18,9,-,8,7
coarse_kc_overlapctl,19,4,-,3,5
coarse_kc_overlapctl,19,5,+,6,4
coarse_kc_overlapctl,19,6,-,5,7
coarse_kc_overlapctl,19,7,+,8,7
coarse_kc_overlapctl,19,7,-,6,7
coarse_kc_overlapctl,19,8,+,9,7
coarse_kc_overlapctl,19,8,-,7,7
coarse_kc_overlapctl,19,9,+,10,7
coarse_kc_overlapctl,19,9,-,8,0
thermo,0,4,-,3,5
thermo,0,5,+,6,4
thermo,0,6,-,5,7
thermo,0,7,+,8,7
thermo,0,7,-,6,4
thermo,0,8,+,9,7
thermo,0,8,-,7,7
thermo,0,9,+,10,4
thermo,0,9,-,8,4
thermo,1,4,-,3,5
thermo,1,5,+,6,7
thermo,1,6,-,5,7
thermo,1,7,+,8,4
thermo,1,7,-,6,4
thermo,1,8,+,9,4
thermo,1,8,-,7,4
thermo,1,9,+,10,4
thermo,1,9,-,8,4
thermo,2,4,-,3,5
thermo,2,5,+,6,7
thermo,2,6,-,5,7
thermo,2,7,+,8,4
thermo,2,7,-,6,4
thermo,2,8,+,9,7
thermo,2,8,-,7,4
thermo,2,9,+,10,2
thermo,2,9,-,8,4
thermo,3,4,-,3,5
thermo,3,5,+,6,4
thermo,3,6,-,5,7
thermo,3,7,+,8,4
thermo,3,7,-,6,4
thermo,3,8,+,9,7
thermo,3,8,-,7,7
thermo,3,9,+,10,4
thermo,3,9,-,8,4
thermo,4,4,-,3,5
thermo,4,5,+,6,4
thermo,4,6,-,5,7
thermo,4,7,+,8,4
thermo,4,7,-,6,2
thermo,4,8,+,9,7
thermo,4,8,-,7,2
thermo,4,9,+,10,4
thermo,4,9,-,8,4
thermo,5,4,-,3,5
thermo,5,5,+,6,4
thermo,5,6,-,5,7
thermo,5,7,+,8,4
thermo,5,7,-,6,4
thermo,5,8,+,9,7
thermo,5,8,-,7,7
thermo,5,9,+,10,4
thermo,5,9,-,8,4
thermo,6,4,-,3,5
thermo,6,5,+,6,4
thermo,6,6,-,5,7
thermo,6,7,+,8,4
thermo,6,7,-,6,4
thermo,6,8,+,9,7
thermo,6,8,-,7,4
thermo,6,9,+,10,4
thermo,6,9,-,8,4
thermo,7,4,-,3,5
thermo,7,5,+,6,4
thermo,7,6,-,5,7
thermo,7,7,+,8,4
thermo,7,7,-,6,4
thermo,7,8,+,9,7
thermo,7,8,-,7,7
thermo,7,9,+,10,4
thermo,7,9,-,8,4
thermo,8,4,-,3,5
thermo,8,5,+,6,7
thermo,8,6,-,5,7
thermo,8,7,+,8,2
thermo,8,7,-,6,4
thermo,8,8,+,9,4
thermo,8,8,-,7,4
thermo,8,9,+,10,4
thermo,8,9,-,8,4
thermo,9,4,-,3,5
thermo,9,5,+,6,4
thermo,9,6,-,5,7
thermo,9,7,+,8,4
thermo,9,7,-,6,4
thermo,9,8,+,9,7
thermo,9,8,-,7,2
thermo,9,9,+,10,4
thermo,9,9,-,8,4
thermo,10,4,-,3,5
thermo,10,5,+,6,4
thermo,10,6,-,5,7
thermo,10,7,+,8,4
thermo,10,7,-,6,4
thermo,10,8,+,9,7
thermo,10,8,-,7,7
thermo,10,9,+,10,4
thermo,10,9,-,8,4
thermo,11,4,-,3,5
thermo,11,5,+,6,4
thermo,11,6,-,5,7
thermo,11,7,+,8,4
thermo,11,7,-,6,4
thermo,11,8,+,9,7
thermo,11,8,-,7,7
thermo,11,9,+,10,4
thermo,11,9,-,8,4
thermo,12,4,-,3,5
thermo,12,5,+,6,4
thermo,12,6,-,5,7
thermo,12,7,+,8,2
thermo,12,7,-,6,2
thermo,12,8,+,9,2
thermo,12,8,-,7,2
thermo,12,9,+,10,2
thermo,12,9,-,8,2
thermo,13,4,-,3,5
thermo,13,5,+,6,7
thermo,13,6,-,5,7
thermo,13,7,+,8,4
thermo,13,7,-,6,4
thermo,13,8,+,9,4
thermo,13,8,-,7,4
thermo,13,9,+,10,2
thermo,13,9,-,8,4
thermo,14,4,-,3,5
thermo,14,5,+,6,4
thermo,14,6,-,5,4
thermo,14,7,+,8,7
thermo,14,7,-,6,7
thermo,14,8,+,9,4
thermo,14,8,-,7,4
thermo,14,9,+,10,2
thermo,14,9,-,8,2
thermo,15,4,-,3,5
thermo,15,5,+,6,4
thermo,15,6,-,5,7
thermo,15,7,+,8,4
thermo,15,7,-,6,4
thermo,15,8,+,9,7
thermo,15,8,-,7,7
thermo,15,9,+,10,4
thermo,15,9,-,8,4
thermo,16,4,-,3,5
thermo,16,5,+,6,4
thermo,16,6,-,5,7
thermo,16,7,+,8,4
thermo,16,7,-,6,4
thermo,16,8,+,9,7
thermo,16,8,-,7,7
thermo,16,9,+,10,4
thermo,16,9,-,8,4
thermo,17,4,-,3,5
thermo,17,5,+,6,4
thermo,17,6,-,5,7
thermo,17,7,+,8,7
thermo,17,7,-,6,4
thermo,17,8,+,9,7
thermo,17,8,-,7,7
thermo,17,9,+,10,4
thermo,17,9,-,8,4
thermo,18,4,-,3,5
thermo,18,5,+,6,4
thermo,18,6,-,5,7
thermo,18,7,+,8,4
thermo,18,7,-,6,4
thermo,18,8,+,9,7
thermo,18,8,-,7,7
thermo,18,9,+,10,4
thermo,18,9,-,8,4
thermo,19,4,-,3,5
thermo,19,5,+,6,7
thermo,19,6,-,5,7
thermo,19,7,+,8,4
thermo,19,7,-,6,4
thermo,19,8,+,9,4
thermo,19,8,-,7,4
thermo,19,9,+,10,4
thermo,19,9,-,8,4
